Campaign_ID,Campaign_Name,Channel,Region,Budget (₹),Spent (₹),Leads_Generated,Conversions,Conversion_Rate (%),Revenue (₹),ROI (%),Status,Start_Date,End_Date
CAMP-001,Diwali Dhamaka,Email,South,87265,172360,4498,1103,10.26,445395,153.23,Active,2024-01-01,2024-02-01
CAMP-002,Monsoon Offer,Influencer,West,461066,273627,122,648,4.49,749158,79.96,Completed,2024-01-02,2024-02-02
CAMP-003,New Year Blast,Influencer,South,299321,115081,1964,1432,4.94,124601,118.65,Paused,2024-01-03,2024-02-03
CAMP-004,Monsoon Offer,Radio,Central,116150,56877,2522,681,11.94,975779,34.64,Active,2024-01-04,2024-02-04
CAMP-005,Monsoon Offer,Print Media,South,137312,393706,3096,1236,6.97,360001,135.2,Completed,2024-01-05,2024-02-05
CAMP-006,Winter Fest,Social Media,East,139613,428529,757,1181,12.08,437699,74.07,Active,2024-01-06,2024-02-06
CAMP-007,New Year Blast,Social Media,East,387054,231957,1854,953,12.43,544700,77.36,Completed,2024-01-07,2024-02-07
CAMP-008,New Year Blast,Influencer,East,364519,92715,3763,208,12.93,332844,122.85,Completed,2024-01-08,2024-02-08
CAMP-009,New Year Blast,Radio,East,171826,161398,2614,1459,13.79,832215,185.98,Completed,2024-01-09,2024-02-09
CAMP-010,Monsoon Offer,TV Ads,West,85435,130091,2525,501,6.75,482680,-5.92,Active,2024-01-10,2024-02-10
CAMP-011,Diwali Dhamaka,Social Media,Central,408587,152632,3660,905,5.12,223423,161.44,Paused,2024-01-11,2024-02-11
CAMP-012,New Year Blast,TV Ads,South,260017,361292,4305,151,8.94,143330,44.32,Active,2024-01-12,2024-02-12
CAMP-013,Flash Friday,Print Media,South,184055,103186,2873,1346,5.88,275391,77.66,Completed,2024-01-13,2024-02-13
CAMP-014,Monsoon Offer,Social Media,East,201734,439961,1785,174,9.22,263606,-15.18,Active,2024-01-14,2024-02-14
CAMP-015,Winter Fest,Social Media,East,335654,182962,1635,323,10.73,457085,46.23,Paused,2024-01-15,2024-02-15
CAMP-016,Diwali Dhamaka,SEO,North,259259,171094,116,30,10.48,241387,90.58,Active,2024-01-16,2024-02-16
CAMP-017,Flash Friday,Social Media,Central,222070,405773,3111,1115,5.93,291133,-7.64,Paused,2024-01-17,2024-02-17
CAMP-018,Flash Friday,Email,West,144071,465795,2478,1164,2.92,536904,88.04,Paused,2024-01-18,2024-02-18
CAMP-019,Winter Fest,Radio,South,318784,90316,4203,993,6.74,464170,183.96,Active,2024-01-19,2024-02-19
CAMP-020,Diwali Dhamaka,Radio,North,356691,497063,391,314,2.57,736915,3.19,Completed,2024-01-20,2024-02-20
CAMP-021,Monsoon Offer,TV Ads,North,366764,48380,2824,380,13.41,375497,148.18,Paused,2024-01-21,2024-02-21
CAMP-022,Summer Sale,Print Media,South,196389,130198,2867,862,5.52,525406,70.13,Active,2024-01-22,2024-02-22
CAMP-023,Diwali Dhamaka,Social Media,West,165608,284500,2711,393,2.74,488242,124.14,Paused,2024-01-23,2024-02-23
CAMP-024,Winter Fest,Email,North,319708,90326,1282,454,0.87,412916,37.25,Completed,2024-01-24,2024-02-24
CAMP-025,Flash Friday,TV Ads,North,208417,374591,3924,434,9.86,228048,15.09,Active,2024-01-25,2024-02-25
CAMP-026,Monsoon Offer,SEO,Central,163824,134994,2451,170,9.74,403646,15.3,Active,2024-01-26,2024-02-26
